seq,host_time,device,point,quality,value,reason
55,2026-09-15 23:36:32.483,IM-01,im01.barrel1Temp,Good,191.8,
56,2026-09-15 23:36:32.483,IM-01,im01.barrel5Temp,Good,147.6,
57,2026-09-15 23:36:32.483,IM-01,im01.moldTemp,Good,84.5,
58,2026-09-15 23:36:32.483,IM-01,im01.oilTemp,Good,44.6,
59,2026-09-15 23:36:32.483,IM-01,im01.injectPressure,Good,0,
60,2026-09-15 23:36:32.483,IM-01,im01.injectSpeed,Good,0,
61,2026-09-15 23:36:32.483,IM-01,im01.screwSpeed,Good,0,
62,2026-09-15 23:36:32.483,IM-01,im01.clampPressure,Good,0,
63,2026-09-15 23:36:32.483,IM-01,im01.pumpCurrent,Good,0,
64,2026-09-15 23:36:32.483,IM-01,im01.hydraulicPressure,Good,0,
65,2026-09-15 23:36:32.483,IM-01,im01.power,Good,3,
66,2026-09-15 23:36:32.483,IM-01,im01.meltEnergy,Good,0,
67,2026-09-15 23:36:32.483,IM-01,im01.energyTotal,Good,1.49150000000055,
68,2026-09-15 23:36:32.483,IM-01,im01.moldTempDual,Good,0,
69,2026-09-15 23:36:32.484,ENV-01,env01.highTempAlarm,Good,False,
70,2026-09-15 23:36:32.484,GW-LINE-B,dry01.drying,Good,True,
71,2026-09-15 23:36:32.484,GW-LINE-B,dry01.levelLow,Good,False,
72,2026-09-15 23:36:32.485,IM-01,im01.moldCloseJog,Good,False,
73,2026-09-15 23:36:32.485,IM-01,im01.start,Good,False,
74,2026-09-15 23:36:32.485,IM-01,im01.stop,Good,False,
75,2026-09-15 23:36:32.485,IM-01,im01.estop,Good,False,
76,2026-09-15 23:36:32.486,ENV-01,env01.acSetTemp,Good,24,
77,2026-09-15 23:36:32.486,GW-LINE-B,dry01.dryTemp,Good,79.4,
78,2026-09-15 23:36:32.486,GW-LINE-B,dry01.dewPoint,Good,-34.9,
79,2026-09-15 23:36:32.486,GW-LINE-B,dry01.materialLevel,Good,80,
80,2026-09-15 23:36:32.486,GW-LINE-B,dry01.heatPower,Good,8,
81,2026-09-15 23:36:32.486,GW-LINE-B,dry01.fanCurrent,Good,1.2,
82,2026-09-15 23:36:32.486,GW-LINE-B,dry01.inTemp,Good,444,
83,2026-09-15 23:36:32.486,GW-LINE-B,dry01.outTemp,Good,594,
84,2026-09-15 23:36:32.487,IM-01,im01.workMode,Good,3,
85,2026-09-15 23:36:32.487,IM-01,im01.targetOutput,Good,50000,
86,2026-09-15 23:36:32.487,IM-01,im01.cavitySetTemp,Good,234,
87,2026-09-15 23:36:32.487,IM-01,im01.moldSetTemp,Good,85,
88,2026-09-15 23:36:32.487,IM-01,im01.holdTime,Good,2.5,
89,2026-09-15 23:36:32.487,IM-01,im01.coolTime,Good,15,
90,2026-09-15 23:36:32.487,IM-01,im01.overTempLimit,Good,260,
91,2026-09-15 23:36:32.487,IM-01,im01.moldTempDualSet,Good,25,
92,2026-09-15 23:36:32.487,IM-01,im01.energyBudget,Good,1500,
93,2026-09-15 23:36:32.487,IM-01,im01.planHours,Good,28800,
94,2026-09-15 23:36:32.487,IM-01,im01.ratedPower,Good,45.5,
95,2026-09-15 23:36:32.488,EM-01,em01.ctRatio,Good,20,
96,2026-09-15 23:36:32.488,GW-LINE-B,dry01.levelDual,Good,0,
97,2026-09-15 23:36:32.488,EM-01,em01.demandThreshold,Good,320,
98,2026-09-15 23:36:32.488,GW-LINE-B,dry01.levelTrend,Good,-0.4414432,
99,2026-09-15 23:36:32.489,IM-01,im01.clampForceDev,Good,-36,
100,2026-09-15 23:36:32.490,GW-LINE-B,dry01.setTemp,Good,80,
101,2026-09-15 23:36:32.490,EM-01,em01.meterNo,Good,EM-2026-0001,
102,2026-09-15 23:36:32.491,IM-01,im01.recipeName,Good,PC-ABS-757 ??????,
103,2026-09-15 23:36:32.491,IM-01,im01.bootTime,Good,09/15/2026 23:15:45,
104,2026-09-15 23:36:32.492,GW-LINE-B,rob01.inPlace,Good,True,
105,2026-09-15 23:36:32.492,ENV-01,env01.runSeconds,Good,12454,
106,2026-09-15 23:36:32.492,ENV-01,env01.sampleTime,Good,09/15/2026 23:36:32,
107,2026-09-15 23:36:32.492,ENV-01,env01.areaName,Good,注塑车间A区,
108,2026-09-15 23:36:32.492,ENV-01,env01.alarmCode,Good,0,
109,2026-09-15 23:36:32.494,ENV-01,env01.acRunning,Good,True,
110,2026-09-15 23:36:32.494,GW-LINE-B,rob01.cycleTime,Good,2.9,
111,2026-09-15 23:36:32.494,GW-LINE-B,rob01.totalPicks,Good,40,
112,2026-09-15 23:36:32.494,GW-LINE-B,rob01.successPicks,Good,40,
113,2026-09-15 23:36:32.494,GW-LINE-B,rob01.failPicks,Good,0,
114,2026-09-15 23:36:32.494,GW-LINE-B,rob01.posX,Good,8,
115,2026-09-15 23:36:32.494,GW-LINE-B,rob01.posY,Good,8,
116,2026-09-15 23:36:32.494,GW-LINE-B,rob01.posZ,Good,8,
117,2026-09-15 23:36:32.494,GW-LINE-B,rob01.gripState,Good,0,
118,2026-09-15 23:36:32.494,GW-LINE-B,rob01.beat,Good,1161,
119,2026-09-15 23:36:32.494,GW-LINE-B,rob01.posDual,Good,0,
120,2026-09-15 23:36:32.494,GW-LINE-B,rob01.trajectory,Good,7.993663,
121,2026-09-15 23:36:32.496,ENV-01,env01.tempDeviation,Good,-0.1,
122,2026-09-15 23:36:32.496,GW-LINE-B,mtc01.runSeconds,Good,12454,
123,2026-09-15 23:36:32.496,GW-LINE-B,mtc01.energyTotal,Good,1.85436111111112,
124,2026-09-15 23:36:32.498,ENV-01,env01.tempAlarmLimit,Good,32,
125,2026-09-15 23:36:32.498,GW-LINE-B,mtc01.tempDeviation,Good,3.7,
126,2026-09-15 23:36:32.498,ENV-01,env01.co2Threshold,Good,1000,
127,2026-09-15 23:36:32.500,GW-LINE-B,mtc01.heatingMode,Good,1,
128,2026-09-15 23:36:32.500,ENV-01,env01.areaNameW,Good,注塑车间A区,
129,2026-09-15 23:36:32.503,GW-LINE-B,mtc01.serialNo,Good,MTC-2026-0001,
130,2026-09-15 23:36:32.503,GW-LINE-B,mtc01.calibTime,Good,09/15/2026 23:15:45,
131,2026-09-15 23:36:32.505,GW-LINE-B,dry01.drySeconds,Good,11830,
132,2026-09-15 23:36:32.505,GW-LINE-B,dry01.energyTotal,Good,1.90866666666668,
133,2026-09-15 23:36:32.507,GW-LINE-B,dry01.dewDeviation,Good,0.1,
134,2026-09-15 23:36:32.509,GW-LINE-B,dry01.materialBatch,Good,BATCH-2026W38,
135,2026-09-15 23:36:32.511,GW-LINE-B,dry01.batchBcd,Good,910,
136,2026-09-15 23:36:32.513,GW-LINE-B,rob01.runSeconds,Good,12454,
137,2026-09-15 23:36:32.515,GW-LINE-B,rob01.energyTotal,Good,1.73338888888886,
138,2026-09-15 23:36:32.517,GW-LINE-B,rob01.posDeviation,Good,-92,
139,2026-09-15 23:36:32.518,GW-LINE-B,rob01.pickDelay,Good,2,
140,2026-09-15 23:36:32.520,GW-LINE-B,rob01.programName,Good,PICK-STD-01,
141,2026-09-15 23:36:33.457,ENV-01,env01.roomTemp,Good,24,
142,2026-09-15 23:36:33.457,ENV-01,env01.humidity,Good,54,
143,2026-09-15 23:36:33.457,ENV-01,env01.dewPoint,Good,14.8,
144,2026-09-15 23:36:33.457,ENV-01,env01.noise,Good,76,
145,2026-09-15 23:36:33.457,ENV-01,env01.pm25,Good,59,
146,2026-09-15 23:36:33.457,ENV-01,env01.pressureDiff,Good,10,
147,2026-09-15 23:36:33.457,ENV-01,env01.illuminance,Good,478,
148,2026-09-15 23:36:33.457,ENV-01,env01.tempFluctuation,Good,11.96147,
149,2026-09-15 23:36:33.457,IM-01,im01.prodTime,Good,09/15/2026 23:36:33,
150,2026-09-15 23:36:33.459,GW-LINE-B,mtc01.actualTemp,Good,101.4,
151,2026-09-15 23:36:33.459,GW-LINE-B,mtc01.returnTemp,Good,99.1,
152,2026-09-15 23:36:33.459,GW-LINE-B,mtc01.pumpPressure,Good,2,
153,2026-09-15 23:36:33.459,GW-LINE-B,mtc01.pumpFlow,Good,32,
154,2026-09-15 23:36:33.459,GW-LINE-B,mtc01.pumpCurrent,Good,3.4,
155,2026-09-15 23:36:33.459,GW-LINE-B,mtc01.heatPower,Good,7,
157,2026-09-15 23:36:33.459,GW-LINE-B,mtc01.outletTemp,Good,101.9,
156,2026-09-15 23:36:33.459,EM-01,em01.totalEnergy,Good,3865.93,
158,2026-09-15 23:36:33.459,GW-LINE-B,mtc01.tempAvg,Good,1014.494,
159,2026-09-15 23:36:33.459,EM-01,em01.forwardEnergy,Good,3865.93,
160,2026-09-15 23:36:33.459,EM-01,em01.voltageA,Good,378,
161,2026-09-15 23:36:33.459,EM-01,em01.voltageB,Good,386,
162,2026-09-15 23:36:33.459,EM-01,em01.voltageC,Good,380,
163,2026-09-15 23:36:33.459,EM-01,em01.currentA,Good,148.4,
164,2026-09-15 23:36:33.459,EM-01,em01.activePower,Good,102,
165,2026-09-15 23:36:33.459,EM-01,em01.reactivePower,Good,39,
166,2026-09-15 23:36:33.459,EM-01,em01.powerFactor,Good,0.9,
167,2026-09-15 23:36:33.459,EM-01,em01.frequency,Good,50.03,
168,2026-09-15 23:36:33.459,EM-01,em01.demand,Good,102,
169,2026-09-15 23:36:33.459,EM-01,em01.energyF64,Good,39.2483333333335,
170,2026-09-15 23:36:33.459,EM-01,em01.unbalance,Good,2.105263,
171,2026-09-15 23:36:33.461,IM-01,im01.moldTemp,Good,84.6,
172,2026-09-15 23:36:33.461,IM-01,im01.oilTemp,Good,44.5,
173,2026-09-15 23:36:33.461,IM-01,im01.energyTotal,Good,1.49233333333388,
174,2026-09-15 23:36:33.467,GW-LINE-B,dry01.dewPoint,Good,-35.3,
175,2026-09-15 23:36:33.467,GW-LINE-B,dry01.heatPower,Good,7,
176,2026-09-15 23:36:33.467,GW-LINE-B,dry01.fanCurrent,Good,2,
177,2026-09-15 23:36:33.469,GW-LINE-B,dry01.levelTrend,Good,-0.467941,
178,2026-09-15 23:36:33.475,GW-LINE-B,rob01.cycleTime,Good,2.7,
179,2026-09-15 23:36:33.475,GW-LINE-B,rob01.trajectory,Good,7.882187,
180,2026-09-15 23:36:34.457,EM-01,em01.totalEnergy,Good,3868.64,
181,2026-09-15 23:36:34.457,EM-01,em01.forwardEnergy,Good,3868.64,
182,2026-09-15 23:36:34.457,EM-01,em01.voltageA,Good,383,
183,2026-09-15 23:36:34.457,EM-01,em01.voltageC,Good,374,
184,2026-09-15 23:36:34.457,EM-01,em01.currentA,Good,184.1,
185,2026-09-15 23:36:34.457,EM-01,em01.activePower,Good,117,
186,2026-09-15 23:36:34.457,EM-01,em01.reactivePower,Good,33,
187,2026-09-15 23:36:34.457,EM-01,em01.powerFactor,Good,0.895,
188,2026-09-15 23:36:34.457,EM-01,em01.frequency,Good,49.96,
189,2026-09-15 23:36:34.457,EM-01,em01.demand,Good,117,
190,2026-09-15 23:36:34.457,EM-01,em01.energyF64,Good,39.2760277777779,
191,2026-09-15 23:36:34.457,EM-01,em01.unbalance,Good,3.157895,
192,2026-09-15 23:36:34.457,IM-01,im01.energyTotal,Good,1.49316666666722,
193,2026-09-15 23:36:34.459,GW-LINE-B,mtc01.actualTemp,Good,100.5,
194,2026-09-15 23:36:34.459,GW-LINE-B,mtc01.returnTemp,Good,97.4,
195,2026-09-15 23:36:34.459,GW-LINE-B,mtc01.pumpFlow,Good,34,
196,2026-09-15 23:36:34.459,GW-LINE-B,mtc01.pumpCurrent,Good,3.2,
197,2026-09-15 23:36:34.459,GW-LINE-B,mtc01.heatPower,Good,6,
198,2026-09-15 23:36:34.459,GW-LINE-B,mtc01.outletTemp,Good,101,
199,2026-09-15 23:36:34.459,GW-LINE-B,mtc01.tempAvg,Good,1005.384,
200,2026-09-15 23:36:34.461,ENV-01,env01.humidity,Good,53,
201,2026-09-15 23:36:34.461,ENV-01,env01.dewPoint,Good,14.7,
202,2026-09-15 23:36:34.461,ENV-01,env01.noise,Good,74,
204,2026-09-15 23:36:34.461,ENV-01,env01.pm25,Good,53,
203,2026-09-15 23:36:34.461,IM-01,im01.prodTime,Good,09/15/2026 23:36:34,
205,2026-09-15 23:36:34.461,ENV-01,env01.pressureDiff,Good,6,
206,2026-09-15 23:36:34.461,ENV-01,env01.illuminance,Good,333,
207,2026-09-15 23:36:34.461,ENV-01,env01.tempFluctuation,Good,12.86364,
208,2026-09-15 23:36:34.467,GW-LINE-B,dry01.dewPoint,Good,-34.6,
209,2026-09-15 23:36:34.467,GW-LINE-B,dry01.heatPower,Good,6,
210,2026-09-15 23:36:34.467,GW-LINE-B,dry01.fanCurrent,Good,1.6,
211,2026-09-15 23:36:34.469,GW-LINE-B,dry01.levelTrend,Good,-0.4936173,
212,2026-09-15 23:36:34.475,GW-LINE-B,rob01.cycleTime,Good,2.8,
213,2026-09-15 23:36:34.475,GW-LINE-B,rob01.trajectory,Good,7.942913,
214,2026-09-15 23:36:35.458,EM-01,em01.totalEnergy,Good,3871.73,
215,2026-09-15 23:36:35.458,IM-01,im01.moldTemp,Good,84.5,
216,2026-09-15 23:36:35.458,EM-01,em01.forwardEnergy,Good,3871.73,
217,2026-09-15 23:36:35.458,EM-01,em01.voltageA,Good,385,
218,2026-09-15 23:36:35.458,EM-01,em01.voltageB,Good,385,
219,2026-09-15 23:36:35.458,EM-01,em01.currentA,Good,160.3,
220,2026-09-15 23:36:35.458,EM-01,em01.activePower,Good,100,
221,2026-09-15 23:36:35.458,EM-01,em01.reactivePower,Good,22,
222,2026-09-15 23:36:35.458,EM-01,em01.powerFactor,Good,0.95,
223,2026-09-15 23:36:35.458,EM-01,em01.frequency,Good,50.06,
224,2026-09-15 23:36:35.458,EM-01,em01.demand,Good,100,
225,2026-09-15 23:36:35.458,EM-01,em01.energyF64,Good,39.3074166666668,
226,2026-09-15 23:36:35.458,EM-01,em01.unbalance,Good,2.894737,
227,2026-09-15 23:36:35.458,IM-01,im01.oilTemp,Good,44.3,
228,2026-09-15 23:36:35.458,IM-01,im01.energyTotal,Good,1.49400000000055,
230,2026-09-15 23:36:35.460,GW-LINE-B,mtc01.actualTemp,Good,99.8,
229,2026-09-15 23:36:35.460,ENV-01,env01.roomTemp,Good,23.9,
231,2026-09-15 23:36:35.460,ENV-01,env01.humidity,Good,54,
232,2026-09-15 23:36:35.460,GW-LINE-B,mtc01.returnTemp,Good,96.4,
233,2026-09-15 23:36:35.460,ENV-01,env01.dewPoint,Good,14.8,
234,2026-09-15 23:36:35.460,GW-LINE-B,mtc01.pumpPressure,Good,3,
235,2026-09-15 23:36:35.460,ENV-01,env01.noise,Good,75,
236,2026-09-15 23:36:35.460,GW-LINE-B,mtc01.pumpFlow,Good,21,
237,2026-09-15 23:36:35.460,ENV-01,env01.pm25,Good,35,
238,2026-09-15 23:36:35.460,GW-LINE-B,mtc01.pumpCurrent,Good,4.5,
239,2026-09-15 23:36:35.460,GW-LINE-B,mtc01.heatPower,Good,3,
240,2026-09-15 23:36:35.460,ENV-01,env01.pressureDiff,Good,7,
241,2026-09-15 23:36:35.460,GW-LINE-B,mtc01.outletTemp,Good,100.3,
242,2026-09-15 23:36:35.460,ENV-01,env01.illuminance,Good,417,
243,2026-09-15 23:36:35.460,GW-LINE-B,mtc01.tempAvg,Good,997.6425,
244,2026-09-15 23:36:35.460,ENV-01,env01.tempFluctuation,Good,12.28595,
245,2026-09-15 23:36:35.463,IM-01,im01.prodTime,Good,09/15/2026 23:36:35,
246,2026-09-15 23:36:35.468,GW-LINE-B,dry01.dewPoint,Good,-33.8,
247,2026-09-15 23:36:35.468,GW-LINE-B,dry01.materialLevel,Good,79,
248,2026-09-15 23:36:35.468,GW-LINE-B,dry01.fanCurrent,Good,1.7,
249,2026-09-15 23:36:35.470,GW-LINE-B,dry01.levelTrend,Good,-0.5197237,
250,2026-09-15 23:36:35.475,GW-LINE-B,rob01.cycleTime,Good,3,
251,2026-09-15 23:36:35.475,GW-LINE-B,rob01.trajectory,Good,7.854074,
252,2026-09-15 23:36:36.458,IM-01,im01.moldTemp,Good,84.6,
253,2026-09-15 23:36:36.458,ENV-01,env01.humidity,Good,53,
254,2026-09-15 23:36:36.458,IM-01,im01.oilTemp,Good,44.5,
255,2026-09-15 23:36:36.458,IM-01,im01.energyTotal,Good,1.49483333333389,
256,2026-09-15 23:36:36.458,ENV-01,env01.dewPoint,Good,14.6,
257,2026-09-15 23:36:36.458,ENV-01,env01.noise,Good,70,
258,2026-09-15 23:36:36.458,ENV-01,env01.pm25,Good,43,
259,2026-09-15 23:36:36.458,ENV-01,env01.pressureDiff,Good,4,
260,2026-09-15 23:36:36.458,ENV-01,env01.illuminance,Good,454,
261,2026-09-15 23:36:36.458,ENV-01,env01.tempFluctuation,Good,12.388,
262,2026-09-15 23:36:36.460,GW-LINE-B,mtc01.returnTemp,Good,95.8,
263,2026-09-15 23:36:36.460,GW-LINE-B,mtc01.pumpCurrent,Good,5.6,
264,2026-09-15 23:36:36.460,GW-LINE-B,mtc01.heatPower,Good,4,
265,2026-09-15 23:36:36.460,GW-LINE-B,mtc01.tempAvg,Good,997.6691,
266,2026-09-15 23:36:36.460,EM-01,em01.totalEnergy,Good,3874.85,
267,2026-09-15 23:36:36.460,EM-01,em01.forwardEnergy,Good,3874.85,
268,2026-09-15 23:36:36.460,EM-01,em01.voltageA,Good,383,
269,2026-09-15 23:36:36.460,EM-01,em01.voltageB,Good,376,
270,2026-09-15 23:36:36.460,EM-01,em01.currentA,Good,190.2,
271,2026-09-15 23:36:36.460,EM-01,em01.activePower,Good,121,
272,2026-09-15 23:36:36.460,EM-01,em01.reactivePower,Good,35,
273,2026-09-15 23:36:36.460,EM-01,em01.powerFactor,Good,0.862,
274,2026-09-15 23:36:36.460,EM-01,em01.frequency,Good,50.04,
275,2026-09-15 23:36:36.460,EM-01,em01.demand,Good,121,
276,2026-09-15 23:36:36.460,EM-01,em01.energyF64,Good,39.3392222222224,
277,2026-09-15 23:36:36.460,EM-01,em01.unbalance,Good,2.368421,
278,2026-09-15 23:36:36.464,IM-01,im01.prodTime,Good,09/15/2026 23:36:36,
279,2026-09-15 23:36:36.467,GW-LINE-B,dry01.dewPoint,Good,-33.5,
280,2026-09-15 23:36:36.467,GW-LINE-B,dry01.heatPower,Good,8,
281,2026-09-15 23:36:36.467,GW-LINE-B,dry01.fanCurrent,Good,1.2,
282,2026-09-15 23:36:36.469,GW-LINE-B,dry01.levelTrend,Good,-0.5434685,
283,2026-09-15 23:36:36.476,GW-LINE-B,rob01.trajectory,Good,7.846889,
284,2026-09-15 23:36:37.457,GW-LINE-B,mtc01.runSeconds,Good,12504,
285,2026-09-15 23:36:37.457,GW-LINE-B,mtc01.energyTotal,Good,1.86155555555556,
286,2026-09-15 23:36:37.457,EM-01,em01.readTime,Good,09/15/2026 23:36:37,
288,2026-09-15 23:36:37.459,GW-LINE-B,mtc01.tempDeviation,Good,-0.3,
287,2026-09-15 23:36:37.459,IM-01,im01.clampForceDev,Good,-48,
289,2026-09-15 23:36:37.462,EM-01,em01.totalEnergy,Good,3877.88,
290,2026-09-15 23:36:37.462,EM-01,em01.forwardEnergy,Good,3877.88,
291,2026-09-15 23:36:37.462,EM-01,em01.voltageB,Good,383,
292,2026-09-15 23:36:37.462,EM-01,em01.voltageC,Good,376,
293,2026-09-15 23:36:37.462,EM-01,em01.currentA,Good,163.3,
294,2026-09-15 23:36:37.462,EM-01,em01.activePower,Good,100,
295,2026-09-15 23:36:37.462,EM-01,em01.reactivePower,Good,20,
296,2026-09-15 23:36:37.462,EM-01,em01.powerFactor,Good,0.879,
297,2026-09-15 23:36:37.462,EM-01,em01.frequency,Good,50.05,
298,2026-09-15 23:36:37.462,EM-01,em01.demand,Good,100,
299,2026-09-15 23:36:37.462,EM-01,em01.energyF64,Good,39.3699444444446,
300,2026-09-15 23:36:37.462,EM-01,em01.unbalance,Good,1.842105,
301,2026-09-15 23:36:37.462,IM-01,im01.oilTemp,Good,44.6,
302,2026-09-15 23:36:37.462,IM-01,im01.energyTotal,Good,1.49566666666722,
303,2026-09-15 23:36:37.464,GW-LINE-B,dry01.drySeconds,Good,11880,
304,2026-09-15 23:36:37.464,GW-LINE-B,dry01.energyTotal,Good,1.91597222222224,
305,2026-09-15 23:36:37.466,GW-LINE-B,dry01.dewDeviation,Good,1.3,
306,2026-09-15 23:36:37.466,IM-01,im01.prodTime,Good,09/15/2026 23:36:37,
307,2026-09-15 23:36:37.466,ENV-01,env01.runSeconds,Good,12504,
308,2026-09-15 23:36:37.466,ENV-01,env01.sampleTime,Good,09/15/2026 23:36:37,
309,2026-09-15 23:36:37.473,GW-LINE-B,rob01.runSeconds,Good,12504,
310,2026-09-15 23:36:37.475,GW-LINE-B,rob01.energyTotal,Good,1.74097222222219,
311,2026-09-15 23:36:37.477,ENV-01,env01.humidity,Good,56,
312,2026-09-15 23:36:37.477,ENV-01,env01.dewPoint,Good,15.2,
313,2026-09-15 23:36:37.477,ENV-01,env01.noise,Good,78,
314,2026-09-15 23:36:37.477,ENV-01,env01.pm25,Good,58,
315,2026-09-15 23:36:37.477,ENV-01,env01.pressureDiff,Good,11,
316,2026-09-15 23:36:37.477,ENV-01,env01.illuminance,Good,355,
317,2026-09-15 23:36:37.477,ENV-01,env01.tempFluctuation,Good,12.22751,
318,2026-09-15 23:36:37.485,GW-LINE-B,mtc01.actualTemp,Good,99.7,
319,2026-09-15 23:36:37.485,GW-LINE-B,mtc01.returnTemp,Good,95.6,
320,2026-09-15 23:36:37.485,GW-LINE-B,mtc01.pumpPressure,Good,5,
321,2026-09-15 23:36:37.485,GW-LINE-B,mtc01.pumpFlow,Good,27,
322,2026-09-15 23:36:37.485,GW-LINE-B,mtc01.pumpCurrent,Good,4.9,
323,2026-09-15 23:36:37.485,GW-LINE-B,mtc01.heatPower,Good,6,
324,2026-09-15 23:36:37.485,GW-LINE-B,mtc01.outletTemp,Good,100.2,
325,2026-09-15 23:36:37.485,GW-LINE-B,mtc01.tempAvg,Good,996.6505,
326,2026-09-15 23:36:37.493,GW-LINE-B,dry01.dewPoint,Good,-33.7,
327,2026-09-15 23:36:37.493,GW-LINE-B,dry01.heatPower,Good,5,
328,2026-09-15 23:36:37.493,GW-LINE-B,dry01.fanCurrent,Good,2,
329,2026-09-15 23:36:37.494,GW-LINE-B,dry01.levelTrend,Good,-0.5770912,
330,2026-09-15 23:36:37.500,GW-LINE-B,rob01.cycleTime,Good,2.8,
331,2026-09-15 23:36:37.500,GW-LINE-B,rob01.trajectory,Good,7.764369,
332,2026-09-15 23:36:38.463,EM-01,em01.totalEnergy,Good,3880.72,
333,2026-09-15 23:36:38.463,IM-01,im01.moldTemp,Good,84.5,
334,2026-09-15 23:36:38.463,EM-01,em01.forwardEnergy,Good,3880.72,
335,2026-09-15 23:36:38.463,EM-01,em01.voltageA,Good,382,
336,2026-09-15 23:36:38.463,EM-01,em01.voltageB,Good,385,
337,2026-09-15 23:36:38.463,IM-01,im01.oilTemp,Good,44.4,
338,2026-09-15 23:36:38.463,EM-01,em01.voltageC,Good,374,
339,2026-09-15 23:36:38.463,EM-01,em01.currentA,Good,208.8,
340,2026-09-15 23:36:38.463,EM-01,em01.activePower,Good,118,
341,2026-09-15 23:36:38.463,EM-01,em01.reactivePower,Good,26,
342,2026-09-15 23:36:38.463,EM-01,em01.powerFactor,Good,0.875,
343,2026-09-15 23:36:38.463,EM-01,em01.frequency,Good,49.99,
344,2026-09-15 23:36:38.463,EM-01,em01.demand,Good,118,
